TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.ow2.proactive.catalog.service.SchedulerRestClientCreator,60,62024,4,2,1.0,1.0,0.2,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.BucketAlreadyExistingException,60,62400,1,1,0.5,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.NotAuthenticatedException,60,4455,1,1,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.PDFGenerationException,60,62182,2,2,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.CatalogObjectAlreadyExistingException,60,62185,2,2,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.UnprocessableEntityException,60,5299,2,1,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.CatalogObjectNotFoundException,60,62174,3,3,0.8333333333333334,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.DeleteNonEmptyBucketException,60,62106,2,2,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.BucketNameIsNotValidException,60,62167,2,1,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.WrongParametersException,60,62161,2,1,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.KindOrContentTypeIsNotValidException,60,62179,2,1,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.ParsingObjectException,60,63841,5,3,0.6666666666666666,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.BucketNotFoundException,60,62206,2,2,0.75,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.AccessDeniedException,60,4060,1,1,1.0,1.0,1.0,1.0,0,1.0
